date,meeting_title,category,URL
September,,"September 14, 2015 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2015-09-14.pdf
October,,other,
November,,"November 9, 2015 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2015-11-09.pdf
December,,"December 14, 2015 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2015-12-14.pdf
January,,"January 11, 2016 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2016-01-11.pdf
February,,"February 8, 2016 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2016-02-08.pdf
March,,"March 14, 2016 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2016-03-14.pdf
April,,"April 11, 2016 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2016-04-11.pdf
May,,other,
June,,"June 13, 2016 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2016-06-13.pdf
July,,"July 11, 2016 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2016-07-11.pdf
August,,other,
September,,"September 12, 2016 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2016-09-12.pdf
October,,"October 10, 2016 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2016-10-10.pdf
November,,"November 14, 2016 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2016-11-14.pdf
December,,"December 12, 2016 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2016-12-12.pdf
January,,"January 9, 2017 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2017-01-09.pdf
February,,"February 13, 2017 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2017-02-13.pdf
March,,"March 27, 2017 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2017-03-27.pdf
April,,other,
May,,"May 8, 2017 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2017-05-08.pdf
June,,"June 15, 2017 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2017-06-15.pdf
July,,"July 10, 2017 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2017-07-10.pdf
August,,"August 14, 2017 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2017-08-14.pdf
September,,"September 11, 2017 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2017-09-11.pdf
October,,"October 9, 2017 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2017-10-09.pdf
November,,other,
December,,"December 11, 2017 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2017-12-11.pdf
January,,"January 8, 2018 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2018-01-08.pdf
February,,"February 12, 2018 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2018-02-12.pdf
March,,"March 12, 2018 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2018-03-12.pdf
April,,"April 9, 2018 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2018-04-09.pdf
May,,"May 14, 2018 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2018-05-14.pdf
June,,"June 11, 2018 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2018-06-11.pdf
July,,"July 9, 2018 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2018-07-09.pdf
August,,"August 13, 2018 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2018-08-13.pdf
September,,"September 10, 2018 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2018-09-10.pdf
October,,"October 8, 2018 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2018-10-08.pdf
November,,"November 12, 2018 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2018-11-12.pdf
December,,"December 10, 2018 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2018-12-10.pdf
January,,"January 14, 2019 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2019-01-14.pdf
February,,"February 18, 2019 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2019-02-18.pdf
March,,"March 11, 2019 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2019-03-11.pdf
April,,"April 8, 2019 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2019-04-08.pdf
May,,"May 13, 2019 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2019-05-13.pdf
June,,"June 10, 2019 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2019-06-10.pdf
July,,"July 8, 2019 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2019-07-08.pdf
August,,"August 12, 2019 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2019-08-12.pdf
September,,"September 9, 2019 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2019-09-09.pdf
October,,"October 14, 2019 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2019-10-14.pdf
November,,"November 11, 2019 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2019-11-11.pdf
December,,"December 9, 2019 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2019-12-09.pdf
January,,"January 13, 2020 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2020-01-13.pdf
February,,other,
March,,"March 9, 2020 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2020-03-09.pdf
April,,"April 13, 2020 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2020-04-13.pdf
May,,"May 11, 2020 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2020-05-11.pdf
June,,"June 8, 2020 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2020-06-08.pdf
July,,"July 13, 2020 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2020-07-13.pdf
August,,"August 10, 2020 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2020-08-10.pdf
September,,"September 14, 2020 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2020-09-14.pdf
October,,"October 12, 2020 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2020-10-12.pdf
November,,"November 9, 2020 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2020-11-09.pdf
December,,other,
January,,"January 11, 2021 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2021-01-11.pdf
February,,"February 8, 2021 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2021-02-08.pdf
March,,"March 8, 2021 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2021-03-08.pdf
April,,"April 12, 2021 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2021-04-12.pdf
May,,"May 10, 2021 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2021-05-10.pdf
June,,"June 14, 2021 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2021-06-14.pdf
July,,"July 26, 2021 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2021-07-26.pdf
August,,"August 9, 2021 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2021-08-09.pdf
September,,other,
October,,"October 11, 2021 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2021-10-11.pdf
November,,"November 8, 2021 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2021-11-08.pdf
December,,"December 13, 2021 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2021-12-13.pdf
January,,"January 10, 2022 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2022-01-10.pdf
February,,"February 14, 2022 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2022-02-14.pdf
March,,other,
April,,"April 11, 2022 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2022-04-11.pdf
May,,other,
June,,"June 13, 2022 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2022-06-13.pdf
July,,"July 11, 2022 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2022-07-11.pdf
August,,other,
September,,"September 12, 2022 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2022-09-12.pdf
October,,"October 24, 2022 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2022-10-24.pdf
November,,other,
December,,other,
January,,other,
February,,"February 13, 2023 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2023-02-13.pdf
March,,"March 13, 2023 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2023-03-13.pdf
April,,"April 10, 2023 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2023-04-10.pdf
May,,"May 8, 2023 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2023-05-08.pdf
June,,other,
July,,"July 10, 2023 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2023-07-10.pdf
August,,"August 28, 2023 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2023-08-28.pdf
September,,other,
October,,"October 9, 2023 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2023-10-09.pdf
November,,"November 27, 2023 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2023-11-27.pdf
December,,"December 14, 2023 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2023-12-14.pdf
January,,other,
February,,"February 15, 2024 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2024-02-15.pdf
March,,other,
April,,"April 15, 2024 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2024-04-15.pdf
May,,"May 13, 2024 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2024-05-13.pdf
June,,"June 10, 2024 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2024-06-10.pdf
July,,"July 8, 2024 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2024-07-08.pdf
August,,other,
September,,"September 9, 2024 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2024-09-09.pdf
October,,"October 14, 2024 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2024-10-14.pdf
November,,other,
December,,"December 9, 2024 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2024-12-09.pdf
January,,"January 13, 2025 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2025-01-13.pdf
February,,other,
March,,other,
April,,"April 14, 2025 Minutes",https://symonsrec.com/wp-content/uploads/minutes-agendas-newsletters/Minutes_2025-04-14.pdf
May,,other,
